filenames,10mm,30mm,50mm,offset,target_size
20230509_105146_DOE4-4_no38.csv,54,54.001,54.004,-0.014,54
20230509_105330_DOE4-4_no39.csv,53.999,54.001,54.005,-0.014,54
20230509_105508_DOE4-4_no40.csv,54,54.001,54.005,-0.014,54
20230509_105646_DOE4-4_no41.csv,54,54.001,54.004,-0.014,54
20230509_105815_DOE4-4_no42.csv,54.001,54.003,54.005,-0.014,54
20230509_105943_DOE4-4_no43.csv,54.001,54.002,54.005,-0.014,54
20230509_110115_DOE4-4_no44.csv,54.001,54.002,54.005,-0.014,54
20230509_110307_DOE4-4_no45.csv,54.002,54.002,54.005,-0.014,54
20230509_110429_DOE4-4_no46.csv,54.002,54.002,54.007,-0.014,54
20230509_110556_DOE4-4_no47.csv,54.002,54.003,54.006,-0.014,54
20230509_110721_DOE4-4_no48.csv,54.001,54.003,54.007,-0.014,54
20230509_110858_DOE4-4_no49.csv,54.002,54.004,54.007,-0.014,54
20230509_111233_DOE4-4_no50.csv,54.003,54.005,54.008,-0.014,54
20230512_094410_DOE4-5_no01.csv,50.003,50.005,50.006,-0.014,50
20230512_094831_DOE4-5_no02.csv,50.002,50.005,50.008,-0.014,50
20230512_095033_DOE4-5_no03.csv,50.002,50.003,50.005,-0.014,50
20230512_095150_DOE4-5_no04.csv,50.002,50.003,50.005,-0.014,50
20230512_095330_DOE4-5_no05.csv,50.001,50.002,50.005,-0.014,50
20230512_095453_DOE4-5_no06.csv,50,50.002,50.005,-0.014,50
20230512_095707_DOE4-5_no07.csv,50.001,50.003,50.005,-0.014,50
20230512_095842_DOE4-5_no08.csv,50.001,50.003,50.006,-0.014,50
20230512_100000_DOE4-5_no09.csv,50.001,50.003,50.005,-0.014,50
20230512_100134_DOE4-5_no10.csv,50.001,50.004,50.006,-0.014,50
20230512_100257_DOE4-5_no11.csv,50.001,50.004,50.007,-0.014,50
20230512_100420_DOE4-5_no12.csv,50.002,50.005,50.007,-0.014,50
20230512_100548_DOE4-5_no13.csv,50.003,50.005,50.007,-0.014,50
20230512_100710_DOE4-5_no14.csv,50.003,50.004,50.008,-0.014,50
20230512_100840_DOE4-5_no15.csv,50.003,50.006,50.008,-0.014,50
20230512_100956_DOE4-5_no16.csv,50.004,50.006,50.009,-0.014,50
20230512_101116_DOE4-5_no17.csv,50.004,50.007,50.01,-0.014,50
20230512_101237_DOE4-5_no18.csv,50.004,50.005,50.008,-0.014,50
20230512_101408_DOE4-5_no19.csv,50.005,50.008,50.011,-0.014,50
20230512_101624_DOE4-5_no20.csv,50.006,50.008,50.01,-0.014,50
20230512_101747_DOE4-5_no21.csv,50.007,50.009,50.01,-0.014,50
20230512_101907_DOE4-5_no22.csv,50.007,50.01,50.012,-0.014,50
20230512_102029_DOE4-5_no23.csv,50.007,50.01,50.011,-0.014,50
20230512_102151_DOE4-5_no24.csv,50.008,50.009,50.011,-0.014,50
20230512_102307_DOE4-5_no25.csv,50.007,50.01,50.01,-0.014,50
20230512_104844_DOE4-5_no26.csv,50.008,50.011,50.014,-0.014,50
20230512_105013_DOE4-5_no27.csv,50.01,50.011,50.015,-0.014,50
20230512_105132_DOE4-5_no28.csv,50.01,50.011,50.014,-0.014,50
20230512_105326_DOE4-5_no29.csv,50,50.001,50.003,-0.026,50
20230512_105459_DOE4-5_no30.csv,49.999,50.002,50.004,-0.026,50
20230512_105624_DOE4-5_no31.csv,50,50.001,50.004,-0.026,50
20230512_105753_DOE4-5_no32.csv,50.001,50.001,50.003,-0.026,50
20230512_105911_DOE4-5_no33.csv,50,50.001,50.003,-0.026,50
20230512_110033_DOE4-5_no34.csv,49.999,50.001,50.005,-0.026,50
20230512_110207_DOE4-5_no35.csv,49.999,50,50.005,-0.026,50
20230512_110338_DOE4-5_no36.csv,50,50.001,50.005,-0.026,50
20230512_110511_DOE4-5_no37.csv,49.999,50.003,50.003,-0.026,50
20230512_110648_DOE4-5_no38.csv,50,50.001,50.003,-0.026,50
20230512_111642_DOE4-5_no39.csv,50,50,50.004,-0.026,50
20230512_111806_DOE4-5_no40.csv,50,50.003,50.006,-0.026,50
20230512_111926_DOE4-5_no41.csv,50.001,50.002,50.003,-0.026,50
20230512_112044_DOE4-5_no42.csv,50,50.003,50.005,-0.026,50
20230512_112216_DOE4-5_no43.csv,50.001,50.003,50.004,-0.026,50
20230512_112341_DOE4-5_no44.csv,50.001,50.002,50.006,-0.026,50
20230512_112506_DOE4-5_no45.csv,50.002,50.004,50.008,-0.026,50
20230512_112630_DOE4-5_no46.csv,50.003,50.004,50.009,-0.026,50
20230512_112748_DOE4-5_no47.csv,50.004,50.006,50.01,-0.026,50
20230512_112912_DOE4-5_no48.csv,50.005,50.006,50.011,-0.026,50
20230512_113037_DOE4-5_no49.csv,50.005,50.005,50.009,-0.026,50
20230512_113209_DOE4-5_no50.csv,50.006,50.005,50.01,-0.026,50
20230518_092406_DOE4-B_no01.csv,45.988,45.99,45.992,0,46
20230518_092851_DOE4-B_no02.csv,45.998,46,46.001,0.012,46
20230518_093044_DOE4-B_no03.csv,45.998,46,46.001,0.012,46
20230518_093219_DOE4-B_no04.csv,45.999,45.999,46.002,0.012,46
20230518_093354_DOE4-B_no05.csv,45.999,45.999,46.002,0.012,46
20230518_093525_DOE4-B_no06.csv,45.998,45.999,46.002,0.012,46
20230518_093641_DOE4-B_no07.csv,45.998,46,46.001,0.012,46
20230518_093801_DOE4-B_no08.csv,45.999,45.999,46.001,0.012,46
20230518_094030_DOE4-B_no09.csv,45.998,46,46.003,0.012,46
20230518_094226_DOE4-B_no10.csv,45.998,46,46.002,0.012,46
20230518_094358_DOE4-B_no11.csv,45.999,46.001,46.002,0.012,46
20230518_094516_DOE4-B_no12.csv,46,46.001,46.002,0.012,46
20230518_094637_DOE4-B_no13.csv,45.999,46.002,46.003,0.012,46
20230518_094801_DOE4-B_no14.csv,45.999,46.001,46.002,0.012,46
20230518_094927_DOE4-B_no15.csv,45.998,46,46.003,0.012,46
20230518_095044_DOE4-B_no16.csv,45.999,46.001,46.003,0.012,46
20230518_095156_DOE4-B_no17.csv,45.999,46.002,46.002,0.012,46
20230518_095318_DOE4-B_no18.csv,46,46.001,46.003,0.012,46
20230518_095442_DOE4-B_no19.csv,46,46.002,46.006,0.012,46
20230518_100145_DOE4-B_no20.csv,45.999,46.001,46.005,0.012,46
20230518_100308_DOE4-B_no21.csv,46,46.002,46.004,0.012,46
20230518_100516_DOE4-B_no22.csv,45.999,46.001,46.004,0.012,46
20230518_100640_DOE4-B_no23.csv,46,46.002,46.005,0.012,46
20230518_100755_DOE4-B_no24.csv,46.001,46.003,46.004,0.012,46
20230518_100928_DOE4-B_no25.csv,46,46.002,46.005,0.012,46
20230518_101154_DOE4-B_no26.csv,46.001,46.003,46.006,0.012,46
20230518_101349_DOE4-B_no27.csv,46.002,46.003,46.003,0.012,46
20230518_101516_DOE4-B_no28.csv,46.002,46.003,46.004,0.012,46
20230518_101645_DOE4-B_no29.csv,46.001,46.003,46.003,0.012,46
20230518_101840_DOE4-B_no30.csv,46.002,46.004,46.004,0.012,46
20230518_102001_DOE4-B_no31.csv,46.003,46.004,46.006,0.012,46
20230518_102119_DOE4-B_no32.csv,46.004,46.005,46.005,0.012,46
20230518_102245_DOE4-B_no33.csv,46.003,46.004,46.007,0.012,46
20230518_102405_DOE4-B_no34.csv,46.003,46.006,46.009,0.012,46
20230518_102524_DOE4-B_no35.csv,46.004,46.005,46.007,0.012,46
20230518_102702_DOE4-B_no36.csv,46.005,46.007,46.009,0.012,46
20230518_102834_DOE4-B_no37.csv,46.003,46.005,46.008,0.012,46
20230518_102950_DOE4-B_no38.csv,46.005,46.007,46.007,0.012,46
20230518_103129_DOE4-B_no39.csv,46.003,46.007,46.007,0.012,46
20230518_103306_DOE4-B_no40.csv,46.002,46.008,46.007,0.012,46
20230522_142704_DOE4-B_no41.csv,46.044,46.045,46.047,0,46
20230522_142925_DOE4-B_no42.csv,46.042,46.046,46.046,0,46
20230529_144402_DOE4-B_no43.csv,46.025,46.025,46.026,0,46
20230529_145258_DOE4-B_no44.csv,46,46,46.002,-0.025,46
20230607_142802_DOE4-B_no45.csv,45.997,45.999,46.001,-0.025,46
20230627_093116_DOE4-B_no49.csv,46.016,46.017,46.018,-0.025,46
20230627_094214_DOE4-B_no50.csv,45.999,46.001,46.001,-0.041,46
20230627_094429_DOE4-B_no51.csv,41.997,41.997,41.998,-0.041,42
20230627_094605_DOE4-B_no52.csv,41.997,41.999,42.001,-0.041,42
20230627_094746_DOE4-B_no53.csv,41.998,42,41.999,-0.041,42
20230627_094902_DOE4-B_no54.csv,41.997,41.999,41.998,-0.041,42
20230627_095018_DOE4-B_no55.csv,41.997,41.998,42.001,-0.041,42
20230627_100243_DOE4-B_no56.csv,41.997,41.998,42.001,-0.041,42
20230627_100520_DOE4-B_no57.csv,41.997,41.996,42,-0.041,42
20230627_100640_DOE4-B_no58.csv,41.995,41.998,41.998,-0.041,42
20230627_100943_DOE4-B_no59.csv,41.997,41.997,42,-0.041,42
20230627_101124_DOE4-B_no60.csv,41.997,41.997,41.998,-0.041,42
20230627_101248_DOE4-B_no61.csv,41.996,41.996,41.999,-0.041,42
20230627_101443_DOE4-B_no62.csv,41.995,41.995,41.998,-0.041,42
20230627_101605_DOE4-B_no63.csv,41.996,41.997,41.998,-0.041,42
20230627_101723_DOE4-B_no64.csv,41.997,41.997,42,-0.041,42
20230627_103329_DOE4-B_no65.csv,41.995,41.995,41.999,-0.041,42
20230627_103442_DOE4-B_no66.csv,41.995,41.995,41.998,-0.041,42
20230627_103601_DOE4-B_no67.csv,41.995,41.995,41.998,-0.041,42
20230627_103715_DOE4-B_no68.csv,41.994,41.996,41.998,-0.041,42
20230627_103835_DOE4-B_no69.csv,41.996,41.996,41.998,-0.041,42
20230627_103956_DOE4-B_no70.csv,41.996,41.997,41.998,-0.041,42
20230627_104110_DOE4-B_no71.csv,41.996,41.997,41.998,-0.041,42
20230627_104226_DOE4-B_no72.csv,41.996,41.997,41.998,-0.041,42
20230627_104356_DOE4-B_no73.csv,41.996,41.996,41.999,-0.041,42
20230627_104511_DOE4-B_no74.csv,41.995,41.997,41.999,-0.041,42
20230627_104624_DOE4-B_no75.csv,41.995,41.996,41.998,-0.041,42
20230627_104801_DOE4-B_no76.csv,41.996,41.998,41.998,-0.041,42
20230627_104912_DOE4-B_no77.csv,41.996,41.997,41.998,-0.041,42
20230627_105026_DOE4-B_no78.csv,41.997,41.997,41.998,-0.041,42
20230627_105140_DOE4-B_no79.csv,41.998,41.996,41.998,-0.041,42
20230627_105253_DOE4-B_no80.csv,41.996,41.995,41.998,-0.041,42
20230627_105408_DOE4-B_no81.csv,41.997,41.997,41.999,-0.041,42
20230627_105531_DOE4-B_no82.csv,41.997,41.999,42.001,-0.041,42
20230627_105645_DOE4-B_no83.csv,41.998,42,42.001,-0.041,42
20230627_105758_DOE4-B_no84.csv,41.997,41.998,42.002,-0.041,42
20230627_105931_DOE4-B_no85.csv,41.998,41.999,42.001,-0.041,42
20230627_110106_DOE4-B_no86.csv,41.998,41.999,42.002,-0.041,42
20230627_110409_DOE4-B_no88.csv,41.997,41.999,42.001,-0.041,42
20230627_110529_DOE4-B_no89.csv,41.998,41.999,42.002,-0.041,42
20230627_110650_DOE4-B_no90.csv,41.998,41.998,42,-0.041,42
20230627_110806_DOE4-B_no91.csv,41.998,41.998,42,-0.041,42
20230627_110924_DOE4-B_no92.csv,41.998,41.999,42.001,-0.041,42
20230627_111104_DOE4-B_no93.csv,41.997,41.998,42.002,-0.041,42
20230627_111225_DOE4-B_no94.csv,41.996,42,42.001,-0.041,42
20230627_111357_DOE4-B_no95.csv,41.998,41.999,42,-0.041,42
20230627_111512_DOE4-B_no96.csv,41.998,41.998,42.001,-0.041,42
20230627_111626_DOE4-B_no97.csv,41.997,42,42.002,-0.041,42
20230627_111741_DOE4-B_no98.csv,41.998,41.999,42,-0.041,42
20230627_111906_DOE4-B_no99.csv,41.996,42.001,42.001,-0.041,42
20230627_112027_DOE4-B_no100.csv,41.999,42.001,42.003,-0.041,42
20230710_095130_DOE4-6_no01.csv,38.01,38.013,38.016,-0.026,38
20230710_095500_DOE4-6_no02.csv,38,38.003,38.005,-0.036,38
20230710_095829_DOE4-6_no03.csv,38,38,38.003,-0.036,38
20230710_100021_DOE4-6_no04.csv,37.999,38.002,38.005,-0.036,38
20230710_100147_DOE4-6_no05.csv,38,38.001,38.004,-0.036,38
20230710_100425_DOE4-6_no06.csv,38.001,38.001,38.003,-0.036,38
20230710_100557_DOE4-6_no07.csv,38,38.001,38.004,-0.036,38
20230710_100808_DOE4-6_no08.csv,38.002,38.002,38.004,-0.036,38
20230710_100957_DOE4-6_no09.csv,38.001,38.003,38.006,-0.036,38
20230710_101138_DOE4-6_no10.csv,38.001,37.999,38.008,-0.036,38
20230710_101307_DOE4-6_no11.csv,38.002,38.004,38.008,-0.036,38
20230710_101428_DOE4-6_no12.csv,38.003,38.006,38.008,-0.036,38
20230710_101548_DOE4-6_no13.csv,38.003,38.005,38.007,-0.036,38
