name,No,5mm,30mm,target_size
O6302-20240806142716006,8.0,33.998,33.999,34.0
O6302-20240806142820609,9.0,33.998,33.999,34.0
O6302-20240806142929495,10.0,33.996,33.997,34.0
O6302-20240806143558196,11.0,33.998,34.0,34.0
O6302-20240806143703011,12.0,33.997,33.998,34.0
O6302-20240806143804914,13.0,33.999,34.001,34.0
O6302-20240806143905657,14.0,33.996,33.997,34.0
O6302-20240806144009804,15.0,33.998,33.999,34.0
O6302-20240806144115722,16.0,33.997,33.997,34.0
O6302-20240806144306697,17.0,33.996,33.997,34.0
O6302-20240806144411507,18.0,33.997,33.998,34.0
O6302-20240806144605945,19.0,33.995,33.996,34.0
O6302-20240806144726435,20.0,33.996,33.996,34.0
O6302-20240806145303045,21.0,33.997,33.998,34.0
O6302-20240806145411676,22.0,33.996,33.997,34.0
O6302-20240806145517927,23.0,33.995,33.996,34.0
O6302-20240806145621434,24.0,33.995,33.997,34.0
O6302-20240806145731065,25.0,33.996,33.997,34.0
O6302-20240806145831775,26.0,33.997,33.996,34.0
O6302-20240806145935006,27.0,33.996,33.998,34.0
O6302-20240806150043297,28.0,33.996,33.997,34.0
O6302-20240806150234587,29.0,33.996,33.996,34.0
O6302-20240806150341710,30.0,33.995,33.997,34.0
O6302-20240806150848472,31.0,33.995,33.996,34.0
O6302-20240806151010686,32.0,33.995,33.997,34.0
O6302-20240806151123609,33.0,33.995,33.996,34.0
O6302-20240806151241524,34.0,33.996,33.997,34.0
O6302-20240806151359202,35.0,33.996,33.996,34.0
O6302-20240806151504833,36.0,33.995,33.996,34.0
O6302-20240806151636691,37.0,33.995,33.995,34.0
O6302-20240806151744574,38.0,33.996,33.995,34.0
O6302-20240806151857217,39.0,33.996,33.995,34.0
O6302-20240806152015264,40.0,33.997,33.996,34.0
O6302-20240819135016822,1.0,35.998,36.0,36.0
O6302-20240819135459528,2.0,35.997,36.0,36.0
O6302-20240819135702990,3.0,35.997,35.999,36.0
O6302-20240819135815493,4.0,35.996,35.998,36.0
O6302-20240819135924239,5.0,35.996,35.998,36.0
O6302-20240819140048926,6.0,35.997,35.999,36.0
O6302-20240819140202128,7.0,35.996,35.997,36.0
O6302-20240819140323579,8.0,35.996,35.998,36.0
O6302-20240819140528880,9.0,35.996,35.998,36.0
O6302-20240819140647095,10.0,35.997,35.998,36.0
O6302-20240819141242272,11.0,35.996,35.998,36.0
O6302-20240819141409551,12.0,35.996,35.998,36.0
O6302-20240819141532885,13.0,35.996,35.998,36.0
O6302-20240819141651989,14.0,35.996,35.998,36.0
O6302-20240819141809778,15.0,35.996,35.997,36.0
O6302-20240819141926605,16.0,35.996,35.997,36.0
O6302-20240819142049748,17.0,35.996,35.998,36.0
O6302-20240819142204758,18.0,35.996,35.998,36.0
O6302-20240819142318508,19.0,35.996,35.998,36.0
O6302-20240819142515034,20.0,35.996,35.998,36.0
O6302-20240819142951274,21.0,35.996,35.998,36.0
O6302-20240819143300434,22.0,35.996,35.998,36.0
O6302-20240819143421480,23.0,35.996,35.997,36.0
O6302-20240819143537648,24.0,35.996,35.998,36.0
O6302-20240819143653146,25.0,35.996,35.998,36.0
O6302-20240819143821096,26.0,35.996,35.998,36.0
O6302-20240819143939866,27.0,35.996,35.998,36.0
O6302-20240819144120981,28.0,35.995,35.998,36.0
O6302-20240819144243831,29.0,35.996,35.998,36.0
O6302-20240819144401893,30.0,35.996,35.998,36.0
O6302-20240819144728546,31.0,35.996,35.998,36.0
O6302-20240819144855224,32.0,35.996,35.998,36.0
O6302-20240819145013476,33.0,35.996,35.998,36.0
O6302-20240819145131229,34.0,35.996,35.998,36.0
O6302-20240819145252404,35.0,35.996,35.998,36.0
O6302-20240819145426766,36.0,35.996,35.998,36.0
O6302-20240819145609496,37.0,35.996,35.998,36.0
O6302-20240819145809298,38.0,35.996,35.998,36.0
O6302-20240819145950956,39.0,35.996,35.998,36.0
O6302-20240819150137298,40.0,35.995,35.997,36.0
O6302-20240912091554349,1.0,37.978,37.98,38.0
O6302-20240912092150486,2.0,37.999,38.002,38.0
O6302-20240912092748928,3.0,37.998,38.001,38.0
O6302-20240912092906007,4.0,37.997,37.999,38.0
O6302-20240912093100415,5.0,37.994,37.999,38.0
O6302-20240912093226212,6.0,37.998,37.999,38.0
O6302-20240912093503217,7.0,37.998,38.0,38.0
O6302-20240912093614248,8.0,37.998,38.001,38.0
O6302-20240912093724441,9.0,37.998,38.0,38.0
O6302-20240912093834851,10.0,37.998,38.0,38.0
